fn_name	evidence_kind	evidence	anchor
coding-agent/src/images.rs::infer_mime@15	existing-test	packages/coding-agent/test/image-attachments.test.ts:34	expect(inferMime(new Uint8Array(Buffer.concat([PNG_HEADER, Buffer.from("0000more")])))).toBe("image/png");
coding-agent/src/readline.rs::from_registry_and_skills@23	existing-test	packages/coding-agent/test/readline.test.ts:66	expect(c.matches("/d")).toContain("/db9");
coding-agent/src/spinner.rs::stop_sync@100	existing-test	packages/coding-agent/test/spinner.test.ts:80	expect(cleared, `stopSync must emit the clear escape immediately, got ${JSON.stringify(cleared)}`).toBe(
coding-agent/src/tools/truncate.rs::truncate_tail@54	existing-test	packages/agent/test/harness/truncate.test.ts:98	expect(result.content).toBe("🙂b");
coding-agent/src/triggers/dynamic.rs::clear_rules@197	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:43	expect(registry.clearRules()).toBe(2);
coding-agent/src/triggers/cron.rs::mark_completed@254	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:88	expect(after?.running_trace_id).toBeUndefined();
coding-agent/src/skills_state.rs::set@54	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:134	expect(next.overrides).toEqual([{ name: "alpha", source: "user", enabled: false }]);
coding-agent/src/config.rs::base_dir@10	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:183	expect(getAgentDir()).toBe(dir);
coding-agent/src/session/mod.rs::badge@255	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:213	expect(automationCountsBadge({ cronEnabled: 2, triggerEnabled: 1, cronTotal: 2, triggerTotal: 1 })).toBe(
coding-agent/src/markdown.rs::new@121	existing-test	packages/tui/test/markdown.test.ts:61	assert.ok(plainLines.some((line) => line.includes("    - Nested 1.1")));
agent/src/harness/session/session.rs::leaf_id@386	new-test	packages/agent/test/ported/calibration-batch.test.ts:36	expect(await session.getLeafId()).toBe(firstId);
agent/src/harness/env/native.rs::new@27	new-test	packages/agent/test/ported/calibration-batch.test.ts:64	expect(env.cwd).toBe(dir);
coding-agent/src/goal.rs::as_str@32	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:260	expect(activeOnes, "pursuing, paused and budget_limited all have to be active").toEqual(
coding-agent/src/tools/mod.rs::set_skill_state_tool@108	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:296	expect(def.name).toBe("SetSkillState");
agent/src/harness/agent_harness.rs::prompt_with_images@1695	not-portable	No such implementation here: `promptWithImages` has no hits anywhere under packages/*/src; the only occurrence of the name is a string inside a mock in ui-retry-prompt.test.ts. Image input goes through prompt's attachments parameter, with no separate entry point. This is a real capability gap, not a naming difference.	
ai/src/event_stream.rs::event_type@53	not-portable	A real capability gap: as above — reading the `:event-type` header belongs to AWS binary frame parsing. packages/ai/src/event-stream.ts does not exist, and bedrock-provider.ts is 6 lines that export a bedrockProviderModule placeholder.	
agent/src/harness/session/jsonl_repo.rs::open@42	existing-test	packages/agent/test/harness/repo.test.ts:17	expect(await repo.open(metadata)).toBe(session);
agent/src/harness/session/jsonl_storage.rs::open@69	existing-test	packages/agent/test/harness/storage.test.ts:154	await expect(JsonlSessionStorage.open(env, filePath)).reject
agent/src/harness/session/memory_repo.rs::create@24	existing-test	packages/agent/test/harness/repo.test.ts:18	expect((await repo.list()).map((info) => info.id)).toEqual([
agent/src/harness/session/repo_utils.rs::get_entries_to_fork@38	existing-test	packages/agent/test/harness/repo-utils.test.ts:42	expect(entries.map((entry) => entry.id)).toEqual(["root", "c
agent/src/harness/session/session.rs::append_compaction@484	existing-test	packages/agent/test/harness/session.test.ts:66	expect(context.messages[0]?.role).toBe("compactionSummary");
agent/src/harness/session/session.rs::append_message@440	existing-test	packages/agent/test/harness/session.test.ts:22	expect(context.messages.map((message) => message.role)).toEq
agent/src/harness/session/session.rs::append_model_change@467	existing-test	packages/agent/test/harness/session.test.ts:32	expect(context.model).toEqual({ provider: "openai", modelId:
agent/src/harness/session/session.rs::append_session_name@545	existing-test	packages/agent/test/harness/session.test.ts:96	expect(entries.some((entry) => entry.type === "session_info"
agent/src/harness/session/session.rs::append_thinking_level_change@452	existing-test	packages/agent/test/harness/session.test.ts:31	expect(context.thinkingLevel).toBe("high");
agent/src/harness/session/session.rs::build_context@409	existing-test	packages/agent/test/harness/session.test.ts:22	expect(context.messages.map((message) => message.role)).toEq
agent/src/harness/session/session.rs::entries@394	existing-test	packages/agent/test/harness/session.test.ts:95	expect(entries.some((entry) => entry.type === "label")).toBe
agent/src/harness/session/session.rs::get_entry@245	existing-test	packages/agent/test/harness/session.test.ts:76	expect(summaryEntry).toMatchObject({ type: "branch_summary",
agent/src/harness/session/session.rs::move_to@561	existing-test	packages/agent/test/harness/session.test.ts:43	expect(branch.map((entry) => entry.id)).toContain(user1);
agent/src/harness/session/uuid.rs::uuidv7@6	existing-test	packages/agent/test/harness/session-uuid.test.ts:34	expect(first).toBe("01234567-89ab-7fff-bfff-f91122334455");
coding-agent/src/agent_session.rs::harness@74	existing-test	packages/coding-agent/test/ui/kernel.test.ts:146	expect(kernelWith(stub).harness()).toBe(stub.asHarness);
coding-agent/src/agent_session.rs::prompt@87	existing-test	packages/coding-agent/test/agent-session-branching.test.ts:98	expect(userMessages[0].text).toBe("Say hello");
coding-agent/src/history.rs::append@56	existing-test	packages/coding-agent/test/history.test.ts:28	expect(h.entries()).toEqual(["first", "second", "third"]);
coding-agent/src/history.rs::entries@39	existing-test	packages/coding-agent/test/history.test.ts:28	expect(h.entries()).toEqual(["first", "second", "third"]);
coding-agent/src/history.rs::is_empty@49	existing-test	packages/coding-agent/test/history.test.ts:64	expect(h.isEmpty()).toBe(true);
coding-agent/src/history.rs::load@18	existing-test	packages/coding-agent/test/history.test.ts:133	expect(() => HistoryStore.load()).not.toThrow();
coding-agent/src/history.rs::load_from@26	existing-test	packages/coding-agent/test/history.test.ts:28	expect(h.entries()).toEqual(["first", "second", "third"]);
coding-agent/src/session_archive.rs::default_export_path@360	existing-test	packages/coding-agent/test/session-archive.test.ts:415	expect(defaultExportPath("/some/cwd", "0199abcd-ef01-7234-80
coding-agent/src/session/mod.rs::automation_counts@295	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:65	expect(isAutomationCountsEmpty(counts)).toBe(true);
coding-agent/src/session/mod.rs::automation_elsewhere_hint@315	existing-test	packages/coding-agent/test/session-dir-purity.test.ts:74	expect(hint).toBeUndefined();
coding-agent/src/session/mod.rs::endpoint_sidecar_path@55	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:49	expect(endpointSidecarPath(path)).toBe(join("/tmp", "session
coding-agent/src/session/mod.rs::any_enabled@249	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:81	expect(automationCountsAnyEnabled(counts)).toBe(true);
coding-agent/src/session/mod.rs::find_path_by_id@222	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:153	expect(findSessionPathById(tempDir, id)).toBe(path);
coding-agent/src/session/mod.rs::is_empty@245	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:65	expect(isAutomationCountsEmpty(counts)).toBe(true);
coding-agent/src/session/mod.rs::newest_path@228	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:173	expect(() => resolveResumeSessionPath(tempDir)).toThrow(`no 
coding-agent/src/session/mod.rs::list_entries@100	existing-test	packages/coding-agent/test/session-manager/file-operations.test.ts:40	expect(loadEntriesFromFile(file)).toEqual([]);
agent/src/harness/session/session.rs::append_custom@507	existing-test	packages/coding-agent/test/session-manager/tree-traversal.test.ts:118	expect(customEntry).toBeDefined();
agent/src/harness/session/session.rs::session_name@418	existing-test	packages/agent/test/harness/session.test.ts:98	expect(await session.getSessionName()).toBe("name");
agent/src/harness/session/session.rs::label@414	existing-test	packages/agent/test/harness/storage.test.ts:117	expect(await storage.getLabel("entry-1")).toBe("checkpoint")
agent/src/harness/session/memory_repo.rs::delete_by_id@39	existing-test	packages/agent/test/harness/repo.test.ts:24	await expect(repo.open(metadata)).rejects.toThrow("Session n
agent/src/harness/session/session.rs::branch@398	existing-test	packages/agent/test/ported/harness-e2e.test.ts:617	expect(triggerPresent, "session.getBranch must still enumera
coding-agent/src/agent_session.rs::is_retryable_error@57	not-portable	No implementation of that name here: `isRetryableError` has no hits under packages/*/src. Retry decisions are made inline by retry.ts in the ai layer, in sendWithRetry's status-code branches, with no separately exported predicate.	
coding-agent/src/session/mod.rs::cron_sidecar_path_for_session@60	not-portable	No implementation of that name here: `cronSidecarPathForSession` has no hits under packages/*/src. Only cronSidecarPath(sessionPath) exists; deriving a sidecar path from a session id is left to the caller on this side.	
coding-agent/src/session/mod.rs::trigger_sidecar_path_for_session@38	not-portable	No implementation of that name here: `triggerSidecarPathForSession` has no hits under packages/*/src. The same shape as the cron side — only triggerSidecarPath(sessionPath) exists, and the by-session-id layer was not ported.	
agent/src/harness/session/repo_utils.rs::create_session_id@11	new-test	packages/coding-agent/test/ported/batch-a.test.ts:24	expect(createSessionId()).toMatch(/^[0-9a-f]{8}-[0-9a-f]{4}-
agent/src/harness/session/repo_utils.rs::create_timestamp@15	new-test	packages/coding-agent/test/ported/batch-a.test.ts:40	expect(createTimestamp()).toMatch(/^\d{4}-\d{2}-\d{2}T\d{2}:
coding-agent/src/history.rs::len@44	new-test	packages/coding-agent/test/ported/batch-a.test.ts:69	expect(HistoryStore.loadFrom(path).length).toBe(3);
coding-agent/src/session/mod.rs::trigger_sidecar_path@25	new-test	packages/coding-agent/test/ported/batch-a.test.ts:96	expect(triggerSidecarPath("/tmp/sessions/abc.jsonl")).toBe("
coding-agent/src/session/mod.rs::cron_sidecar_path@30	new-test	packages/coding-agent/test/ported/batch-a.test.ts:101	expect(cronSidecarPath("/tmp/sessions/abc.jsonl")).toBe("/tm
coding-agent/src/session/mod.rs::resume@82	new-test	packages/coding-agent/test/ported/batch-a.test.ts:128	expect(() => resolveResumeSessionPath(dir)).toThrow(`no sess
coding-agent/src/agent_session.rs::subscribe@80	existing-test	packages/coding-agent/test/agent-session-retry.test.ts:143	expect(events).toEqual(["start:1", "end:success=true"]);
coding-agent/src/session/mod.rs::create@77	existing-test	packages/coding-agent/test/rpc.test.ts:255	expect(state.messageCount).toBe(0);
coding-agent/src/agent_session.rs::new@69	existing-test	packages/coding-agent/test/agent-session-concurrent.test.ts:140	expect(session.isStreaming).toBe(true);
agent/src/harness/trigger_runtime.rs::evaluate@191	existing-test	packages/agent/test/harness/trigger-runtime.test.ts:43	expect(outcome).toEqual({ type: "accept" });
agent/src/harness/trigger_runtime.rs::record_follow_up_hop@252	existing-test	packages/agent/test/harness/trigger-runtime.test.ts:93	expect(suppressed).toEqual({ type: "cycleSuppressed", hopCou
agent/src/harness/trigger_runtime.rs::snapshot@164	existing-test	packages/agent/test/harness/trigger-runtime.test.ts:145	expect(snap.acceptedTotal).toBe(3);
coding-agent/src/goal.rs::clear@109	existing-test	packages/coding-agent/test/ported/goal.test.ts:163	expect(cleared).toMatchObject({ condition: "", status: "clea
coding-agent/src/goal.rs::pause@86	existing-test	packages/coding-agent/test/ported/goal.test.ts:148	await expect(pause(harness)).rejects.toThrow("no active goal
coding-agent/src/goal.rs::resume@96	existing-test	packages/coding-agent/test/ported/goal.test.ts:149	await expect(resume(harness)).rejects.toThrow("no paused goa
coding-agent/src/inbox.rs::dismiss_all_new@132	existing-test	packages/coding-agent/test/ported/inbox.test.ts:52	expect(dismissAllNew(path)).toBe(1);
coding-agent/src/inbox.rs::list_new@101	existing-test	packages/coding-agent/test/ported/inbox.test.ts:42	expect(entries.length).toBe(2);
coding-agent/src/inbox.rs::new_count@110	existing-test	packages/coding-agent/test/ported/inbox.test.ts:34	expect(newCount(path)).toBe(0); // missing file counts as ze
coding-agent/src/inbox.rs::set_status@115	existing-test	packages/coding-agent/test/ported/inbox.test.ts:47	expect(claimed).toBeDefined();
coding-agent/src/triggers/cron.rs::add_job@113	existing-test	packages/coding-agent/test/ported/calibration-batch.test.ts:82	expect(traceId).toBeDefined();
coding-agent/src/triggers/cron.rs::add_job_full@117	existing-test	packages/coding-agent/test/ported/cron.test.ts:173	expect(job.stateful).toBe(true);
coding-agent/src/triggers/cron.rs::list@106	existing-test	packages/coding-agent/test/ported/calibration-batch.test.ts:51	expect(registry.list()).toEqual([]);
coding-agent/src/triggers/cron.rs::load_from_path@86	existing-test	packages/coding-agent/test/ported/cron.test.ts:116	expect(jobs.length).toBe(1);
coding-agent/src/goal.rs::current@69	existing-test	packages/coding-agent/test/ported/commands-e2e.test.ts:603	expect(await current(asGoalHarness(harness))).toBeUndefined(
coding-agent/src/goal.rs::set@74	existing-test	packages/coding-agent/test/ported/commands-e2e.test.ts:557	expect(outcome.kind, `expected RunAgentPrompt, got ${JSON.st
coding-agent/src/goal.rs::stop_hook@223	existing-test	packages/coding-agent/test/ported/goal.test.ts:196	expect(decision.action).toEqual({ kind: "pause", reason: "go
coding-agent/src/triggers/cron.rs::set_job_enabled@177	existing-test	packages/coding-agent/test/ported/cron-tool-bugs.test.ts:97	expect(globalCronRegistry().setJobEnabled(jobId, true)?.enab
coding-agent/src/triggers/cron.rs::storage_path@102	existing-test	packages/coding-agent/test/ported/cron-tool-bugs.test.ts:152	expect(sidecar).toBeDefined();
coding-agent/src/triggers/dynamic.rs::add_from_spec@133	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:295	expect(action.prompt).toContain(rule.id);
coding-agent/src/triggers/dynamic.rs::add_rule@91	existing-test	packages/coding-agent/test/ported/calibration-batch.test.ts:43	expect(registry.clearRules()).toBe(2);
coding-agent/src/triggers/dynamic.rs::add_rule_with_options@99	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:226	expect(changed).toEqual([]);
coding-agent/src/triggers/dynamic.rs::list@152	existing-test	packages/coding-agent/test/ported/calibration-batch.test.ts:51	expect(registry.list()).toEqual([]);
coding-agent/src/triggers/dynamic.rs::load_from_path@75	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:166	expect(reloaded.list()).toEqual([rule]);
coding-agent/src/triggers/dynamic.rs::mark_rules_fired@210	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:211	expect(changed).toHaveLength(1);
coding-agent/src/triggers/dynamic.rs::remove_rule@156	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:197	expect(removed).toEqual(rule);
coding-agent/src/triggers/dynamic.rs::set_rule_enabled@174	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:242	expect(updated?.enabled).toBe(true);
coding-agent/src/goal.rs::active@55	existing-test	packages/coding-agent/test/ported/goal.test.ts:176	expect(isGoalActive({ ...base, status: "pursuing" })).toBe(t
agent/src/harness/trigger.rs::is_terminal@210	not-portable	No implementation of that name here: `isTerminal` has no hits under packages/*/src. Whether a trigger has reached a terminal state is decided by callers comparing literals directly (`status === "completed" || status === "failed"`), with no predicate factored out.	
agent/src/harness/trigger.rs::received_from@269	not-portable	No implementation of that name here: `receivedFrom` has no hits under packages/*/src. Upstream uses it to record where a trigger came from; trigger events here carry a source field directly, with no separate constructor or accessor.	
agent/src/harness/trigger_runtime.rs::with_config@145	not-portable	No implementation of that name here: `withConfig` has no hits under packages/*/src. TriggerRuntime takes its configuration through the constructor (`new TriggerRuntime(config)`), with no builder-style with_config.	
coding-agent/src/triggers/dynamic.rs::storage_path@87	not-portable	Different shape here: storagePath in dynamic.ts is a **private field** of DynamicTriggerRegistryState (dynamic.ts:336/340), not a public method as upstream has. The cron side has a method of the same name, but that belongs to a different registry and cannot stand as evidence for this function.	
coding-agent/src/triggers/cron.rs::new@82	new-test	packages/coding-agent/test/ported/batch-b.test.ts:20	expect(new CronRegistry().list()).toEqual([]);
coding-agent/src/triggers/cron.rs::remove_job@162	new-test	packages/coding-agent/test/ported/batch-b.test.ts:43	expect(removed?.id).toBe(job.id);
coding-agent/src/triggers/cron.rs::job_for_trace@245	new-test	packages/coding-agent/test/ported/batch-b.test.ts:76	expect(registry.jobForTrace(traceId)?.id).toBe(job.id);
coding-agent/src/triggers/dynamic.rs::new@71	new-test	packages/coding-agent/test/ported/batch-b.test.ts:90	expect(new DynamicTriggerRegistry().list()).toEqual([]);
coding-agent/src/triggers/dynamic.rs::add_rule_with_flags@108	new-test	packages/coding-agent/test/ported/batch-b.test.ts:112	expect([rule.fire_once, rule.promote_to_chat]).toEqual([fals
coding-agent/src/inbox.rs::default_inbox_path@42	new-test	packages/coding-agent/test/ported/batch-b.test.ts:139	expect(path.endsWith("inbox.jsonl")).toBe(true);
agent/src/harness/trigger_runtime.rs::new@139	existing-test	packages/agent/test/harness/trigger-runtime.test.ts:44	expect(runtime.dedupEntryCount()).toBe(1);
coding-agent/src/triggers/mcp_notification_hook.rs::new@90	existing-test	packages/coding-agent/test/ported/mcp-notification-hook.test.ts:401	expect(hook.status().state).toEqual({ kind: "disconnected", 
agent/src/agent.rs::subscribe@130	existing-test	packages/agent/test/ported/agent-loop.test.ts:54	expect(events[0]).toBe("agent_start");
agent/src/harness/agent_harness.rs::continue_@1732	existing-test	packages/agent/test/harness/agent-harness.test.ts:1413	expect(response.content).toEqual([{ type: "text", text: "con
agent/src/harness/agent_harness.rs::evaluate@560	existing-test	packages/agent/test/ported/harness-e2e.test.ts:2529	expect(policy.evaluate("bash", args).type).toBe("deny");
agent/src/harness/agent_harness.rs::prompt@1684	existing-test	packages/agent/test/harness/agent-harness-stream.test.ts:70	expect(capturedOptions).toMatchObject({
agent/src/harness/agent_harness.rs::prompt_from_template@1662	existing-test	packages/agent/test/ported/harness-e2e.test.ts:318	expect(hasInterpolated, `expected interpolated user message;
agent/src/harness/agent_harness.rs::rehydrate_from_session@1639	existing-test	packages/agent/test/ported/harness-e2e.test.ts:340	expect(ctx.thinkingLevel).toBe("high");
agent/src/harness/agent_harness.rs::reload_skills_from_disk@1538	existing-test	packages/agent/test/ported/harness-e2e.test.ts:2581	expect(result.skills).toHaveLength(2);
agent/src/harness/agent_harness.rs::run_evaluator@1974	existing-test	packages/agent/test/harness/agent-harness.test.ts:1453	expect(capturedToolCount).toBe(0);
agent/src/harness/agent_harness.rs::set_model@1593	existing-test	packages/agent/test/ported/harness-e2e.test.ts:295	expect(entries.some((e) => e.type === "model_change" && e.mo
agent/src/harness/agent_harness.rs::set_thinking_level@1601	existing-test	packages/agent/test/harness/agent-harness.test.ts:422	expect(captured).toEqual([
agent/src/harness/compaction/compaction.rs::compact@635	existing-test	packages/agent/test/harness/compaction.test.ts:285	expect(result.summary).toBe("");
agent/src/harness/compaction/compaction.rs::estimate_context_tokens@166	existing-test	packages/agent/test/harness/compaction.test.ts:358	expect(estimateContextTokens([createUserMessage("no usage")]
agent/src/harness/compaction/compaction.rs::generate_summary@506	existing-test	packages/agent/test/harness/compaction.test.ts:687	expect(fauxCalls).toBe(1);
agent/src/harness/compaction/compaction.rs::should_compact@192	existing-test	packages/agent/test/harness/compaction.test.ts:170	expect(shouldCompact(80001, 100000, settings)).toBe(true);
agent/src/harness/cost.rs::record@60	existing-test	packages/agent/test/harness/cost.test.ts:27	expect(snapshot.tokens.input).toBe(200);
agent/src/harness/cost.rs::reset@54	existing-test	packages/agent/test/harness/cost.test.ts:40	expect(tracker.snapshot().tokens.input).toBe(0);
agent/src/harness/cost.rs::snapshot@49	existing-test	packages/agent/test/harness/cost.test.ts:27	expect(snapshot.tokens.input).toBe(200);
agent/src/harness/cost.rs::total_cost@25	existing-test	packages/agent/test/harness/cost.test.ts:31	expect(totalCost(snapshot)).toBeCloseTo(0.0033, 9);
agent/src/harness/permission.rs::default_for_coding_agent@78	existing-test	packages/agent/test/harness/permission.test.ts:21	expect(decision.type, `false positive on ${JSON.stringify(cm
agent/src/harness/permission.rs::evaluate@101	existing-test	packages/agent/test/harness/permission.test.ts:21	expect(decision.type, `false positive on ${JSON.stringify(cm
agent/src/harness/prompt_templates.rs::interpolate@36	existing-test	packages/agent/test/harness/prompt-templates.test.ts:154	expect(PromptTemplateRegistry.interpolate(template, { who: "
agent/src/harness/types.rs::label@256	existing-test	packages/coding-agent/test/ported/trigger-wiring.test.ts:227	expect(subsystem.hooks.map((hook) => hook.label())).toEqual(
agent/src/agent.rs::continue_@182	existing-test	packages/agent/test/agent.test.ts:378	await expect(agent.continue()).rejects.toThrow(
agent/src/harness/agent_harness.rs::move_to@1616	existing-test	packages/agent/test/ported/session-storage.test.ts:92	expect(await reopened.getLeafId()).toBe(idC);
agent/src/harness/cost.rs::new@43	existing-test	packages/agent/test/harness/cost.test.ts:27	expect(snapshot.tokens.input).toBe(200);
agent/src/harness/prompt_templates.rs::new@23	existing-test	packages/agent/test/harness/prompt-templates.test.ts:168	expect(registry.list()).toEqual([a, b]);
agent/src/agent.rs::is_streaming@146	existing-test	packages/coding-agent/test/ui/kernel.test.ts:234	expect(kernel.isStreaming()).toBe(false);
agent/src/agent.rs::new@79	new-test	packages/agent/test/ported/batch-c.test.ts:25	expect(new Agent().state.messages).toEqual([]);
agent/src/agent.rs::state@142	new-test	packages/agent/test/ported/batch-c.test.ts:50	expect(Object.keys(new Agent().state)).toEqual(expect.arrayC
agent/src/agent.rs::enqueue@86	new-test	packages/agent/test/ported/batch-c.test.ts:70	expect(agent.hasQueuedMessages()).toBe(true);
agent/src/agent.rs::has_items@104	new-test	packages/agent/test/ported/batch-c.test.ts:31	expect([agent.state.isStreaming, agent.hasQueuedMessages()])
agent/src/agent.rs::drain@90	new-test	packages/agent/test/ported/batch-c.test.ts:88	expect(agent.hasQueuedMessages()).toBe(false);
agent/src/agent.rs::enqueue_follow_up@154	not-portable	Named differently here: upstream's enqueue_follow_up is Agent.followUp(message) (agent.ts:290). Nothing is missing, the name differs; the queue implementation is shared with enqueue (agent.ts:141), and the behavioral evidence is on that row.	
agent/src/agent.rs::convert_to_llm@207	not-portable	Structural difference: upstream's convert_to_llm is a method on Agent. Here the optional hook AgentOptions.convertToLlm carries it, and the default implementation defaultConvertToLlm at packages/agent/src/agent.ts:33 is **module-private** (applied at agent.ts:223 as `options.convertToLlm ?? defaultConvertToLlm`), so there is no entry point on the public surface.	
agent/src/harness/agent_harness.rs::force_compact@1946	not-portable	No implementation of that name here: forceCompact has no hits under packages. Forced compaction goes through a direct call to compact(preparation, model, key) (compaction.ts), with no wrapper on the harness.	
agent/src/types.rs::as_str@71	not-portable	No implementation of that name here: asStr has no hits. Upstream uses it to turn an enum into its wire string; the corresponding type here is a literal union such as GoalStatus, where the string is the value itself and no conversion function is needed.	
agent/src/types.rs::as_audit_str@472	not-portable	No implementation of that name here: asAuditStr has no hits. Audit strings are assembled at the call site, never factored into a method on the type.	
agent/src/types.rs::default_stream_fn@544	not-portable	No implementation of that name here: defaultStreamFn has no hits. The stream function is injected through AgentOptions.streamFn, and without one the call goes straight to stream() in the ai layer, with no named default.	
agent/src/harness/types.rs::new@52	new-test	packages/agent/test/ported/batch-c.test.ts:113	expect([err.code, err.message, err.path, err.name]).toEqual(
agent/src/harness/types.rs::new@83	new-test	packages/agent/test/ported/batch-c.test.ts:124	expect([err.code, err.message, err.name]).toEqual(["timeout"
agent/src/harness/notification_hook.rs::pending@135	new-test	packages/agent/test/ported/batch-c.test.ts:142	expect(notificationHookStatusPending().state).toEqual({ kind
agent/src/harness/agent_harness.rs::set_compaction_settings@1566	not-portable	Present here, but with no separate test surface: setCompactionSettings (agent-harness.ts:1954) only stores the settings on the harness, and every effect of it is observed through shouldCompact and compact, which each already have evidence. A test written for it alone could only assert that what went in comes back out — a tautology — so this is recorded as not portable rather than padded.	
agent/src/harness/env/native.rs::current@31	not-portable	Named differently here: upstream's NativeEnv::current is the public cwd field on NodeExecutionEnv (nodejs.ts:215), not a method. Its behavioral evidence is the NodeExecutionEnv constructor case in the phase 3 calibration batch, where the cwd is remembered and relative paths are anchored to it.	
agent/src/types.rs::default_convert_to_llm@650	not-portable	No export of that name here: defaultConvertToLlm has no hits in types.ts. The default for converting messages into LLM format is inlined in Agent's prompt path and overridden by AgentOptions.convertToLlm, with no named, testable entry point.	
ai/src/api_registry.rs::get_api_provider@77	existing-test	packages/ai/test/ported/oracle-inline-core.test.ts:110	expect(handle).toBeDefined();
ai/src/api_registry.rs::register_api_provider@60	existing-test	packages/ai/test/ported/oracle-inline-core.test.ts:110	expect(handle).toBeDefined();
ai/src/api_registry.rs::stream@25	existing-test	packages/ai/test/api-registry-error-streams.test.ts:75	expect(() => handle!.stream(testModel("other-api"), { messag
ai/src/api_registry.rs::stream_simple@34	existing-test	packages/ai/test/ported/oracle-inline-core.test.ts:135	expect(doneModel).toBe("simple");
ai/src/api_registry.rs::unregister_api_providers@85	existing-test	packages/ai/test/ported/oracle-inline-core.test.ts:113	expect(getApiProvider(RACE_API as never)).toBeUndefined();
ai/src/env_api_keys.rs::env_var_names@45	existing-test	packages/ai/test/env-api-keys.test.ts:60	expect(envVarNames("ds4")).toEqual(["DS4_API_KEY"]);
ai/src/providers/cloudflare.rs::resolve_cloudflare_base_url@30	existing-test	packages/ai/test/cloudflare-base-url-placeholder.test.ts:40	expect(resolveCloudflareBaseUrl(modelWithBase("https://examp
ai/src/utils/event_stream.rs::push@32	existing-test	packages/ai/test/event-stream.test.ts:61	expect(events).toHaveLength(2);
ai/src/utils/event_stream.rs::result@87	existing-test	packages/ai/test/event-stream.test.ts:74	expect(finalMsg).toBeDefined();
ai/src/utils/hash.rs::short_hash@11	existing-test	packages/ai/test/hash.test.ts:11	expect(shortHash("hello")).toBe(shortHash("hello"));
ai/src/utils/overflow.rs::is_context_overflow@69	existing-test	packages/ai/test/context-overflow.test.ts:105	expect(isContextOverflow(result.response, model.contextWindo
